Year,Brand,Model,Fuel Type,Price (₹),Kilometers Driven,Transmission,Down Payment (₹),Loan Amount (₹),Interest Rate (%),Tenure (Months),EMI (₹ / Month)
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2020,Hyundai,Elite,petrol,675000,55500,manual,135000,540000,9.5,60,11341
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2021,Maruti,Swift,petrol,585000,50500,manual,117000,468000,9.5,60,9829
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2021,Jeep,Compass,diesel,1989999,90500,automatic,397999,1592000,9.5,60,33435
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2016,Hyundai,Creta,petrol,751000,146000,automatic,150200,600800,9.5,60,12618
2019,Hyundai,Verna,petrol,877999,51000,automatic,175599,702400,9.5,60,14752
2016,Hyundai,i,petrol,300000,100500,manual,60000,240000,9.5,60,5040
2021,Kia,Seltos,petrol,1024000,114000,automatic,204800,819200,9.5,60,17205
2018,Honda,City,diesel,689000,91500,manual,137800,551200,9.5,60,11576
2017,Skoda,Rapid,diesel,537000,132000,manual,107400,429600,9.5,60,9022
2015,Maruti,Celerio,petrol,374000,66500,automatic,74800,299200,9.5,60,6284
2015,Hyundai,Elite,petrol,498000,34500,manual,99600,398400,9.5,60,8367
2017,Maruti,Wagon,petrol,396000,43000,automatic,79200,316800,9.5,60,6653
2015,Mercedes,GLA,diesel,1450000,59500,automatic,290000,1160000,9.5,60,24362
2023,Maruti,Baleno,petrol,771000,15500,automatic,154200,616800,9.5,60,12954
2016,Maruti,Celerio,petrol,409000,47500,automatic,81800,327200,9.5,60,6872
2019,Maruti,Ciaz,petrol,636000,118500,manual,127200,508800,9.5,60,10686
2011,Maruti,Swift,diesel,279000,102500,manual,55800,223200,9.5,60,4688
2014,Maruti,Swift,petrol,420000,96000,manual,84000,336000,9.5,60,7057
2011,Hyundai,i,petrol,256000,73000,manual,51200,204800,9.5,60,4301
2024,Honda,Elevate,petrol,1362000,10500,automatic,272400,1089600,9.5,60,22884
2022,Maruti,Alto,petrol,351000,21500,manual,70200,280800,9.5,60,5897
2017,Maruti,Celerio,petrol,424000,50000,automatic,84800,339200,9.5,60,7124
